index,pass_ID,scenario,time_crit,JRT,WT,commuter,age_50_65,age_65plus,Crowding_3_2,Crowding_4_3,Crowding_4_2,output_choice
50,51,5,0,10,10,1,0,0,0,0,1,0
50,51,6,0,10,5,1,0,0,0,0,1,1
51,52,1,1,13,10,1,0,0,1,0,0,0
51,52,2,1,13,5,1,0,0,1,0,0,0
51,52,3,1,13,10,1,0,0,0,1,0,0
51,52,4,1,13,5,1,0,0,0,1,0,1
51,52,5,1,13,10,1,0,0,0,0,1,0
51,52,6,1,13,5,1,0,0,0,0,1,1
52,53,1,0,10,10,1,0,0,1,0,0,0
52,53,2,0,10,5,1,0,0,1,0,0,0
52,53,3,0,10,10,1,0,0,0,1,0,0
52,53,4,0,10,5,1,0,0,0,1,0,0
52,53,5,0,10,10,1,0,0,0,0,1,0
52,53,6,0,10,5,1,0,0,0,0,1,0
53,54,1,1,15,10,0,0,0,1,0,0,0
53,54,2,1,15,5,0,0,0,1,0,0,0
53,54,3,1,15,10,0,0,0,0,1,0,0
53,54,4,1,15,5,0,0,0,0,1,0,1
53,54,5,1,15,10,0,0,0,0,0,1,0
53,54,6,1,15,5,0,0,0,0,0,1,1
54,55,1,0,7,10,1,0,0,1,0,0,0
54,55,2,0,7,5,1,0,0,1,0,0,1
54,55,3,0,7,10,1,0,0,0,1,0,1
54,55,4,0,7,5,1,0,0,0,1,0,1
54,55,5,0,7,10,1,0,0,0,0,1,1
54,55,6,0,7,5,1,0,0,0,0,1,1
55,56,1,1,45,10,1,0,0,1,0,0,0
55,56,2,1,45,5,1,0,0,1,0,0,0
55,56,3,1,45,10,1,0,0,0,1,0,0
55,56,4,1,45,5,1,0,0,0,1,0,1
55,56,5,1,45,10,1,0,0,0,0,1,0
55,56,6,1,45,5,1,0,0,0,0,1,1
56,57,1,0,20,10,1,0,0,1,0,0,0
56,57,2,0,20,5,1,0,0,1,0,0,1
56,57,3,0,20,10,1,0,0,0,1,0,1
56,57,4,0,20,5,1,0,0,0,1,0,1
56,57,5,0,20,10,1,0,0,0,0,1,1
56,57,6,0,20,5,1,0,0,0,0,1,1
57,58,1,0,17,10,1,0,0,1,0,0,0
57,58,2,0,17,5,1,0,0,1,0,0,0
57,58,3,0,17,10,1,0,0,0,1,0,1
57,58,4,0,17,5,1,0,0,0,1,0,1
57,58,5,0,17,10,1,0,0,0,0,1,1
57,58,6,0,17,5,1,0,0,0,0,1,1
58,59,1,0,20,10,0,0,0,1,0,0,0
58,59,2,0,20,5,0,0,0,1,0,0,0
58,59,3,0,20,10,0,0,0,0,1,0,0
58,59,4,0,20,5,0,0,0,0,1,0,1
58,59,5,0,20,10,0,0,0,0,0,1,0
58,59,6,0,20,5,0,0,0,0,0,1,1
59,60,1,0,40,10,1,0,0,1,0,0,1
59,60,2,0,40,5,1,0,0,1,0,0,1
59,60,3,0,40,10,1,0,0,0,1,0,1
59,60,4,0,40,5,1,0,0,0,1,0,1
59,60,5,0,40,10,1,0,0,0,0,1,1
59,60,6,0,40,5,1,0,0,0,0,1,1
60,61,1,0,18,10,1,0,0,1,0,0,0
60,61,2,0,18,5,1,0,0,1,0,0,0
60,61,3,0,18,10,1,0,0,0,1,0,0
60,61,4,0,18,5,1,0,0,0,1,0,1
60,61,5,0,18,10,1,0,0,0,0,1,0
60,61,6,0,18,5,1,0,0,0,0,1,1
61,62,1,0,22,10,1,0,0,1,0,0,0
61,62,2,0,22,5,1,0,0,1,0,0,1
61,62,3,0,22,10,1,0,0,0,1,0,1
61,62,4,0,22,5,1,0,0,0,1,0,1
61,62,5,0,22,10,1,0,0,0,0,1,1
61,62,6,0,22,5,1,0,0,0,0,1,1
62,63,1,0,4,10,0,0,0,1,0,0,0
62,63,2,0,4,5,0,0,0,1,0,0,0
62,63,3,0,4,10,0,0,0,0,1,0,0
62,63,4,0,4,5,0,0,0,0,1,0,0
62,63,5,0,4,10,0,0,0,0,0,1,0
62,63,6,0,4,5,0,0,0,0,0,1,0
63,64,1,1,23,10,1,0,0,1,0,0,0
63,64,2,1,23,5,1,0,0,1,0,0,0
63,64,3,1,23,10,1,0,0,0,1,0,0
63,64,4,1,23,5,1,0,0,0,1,0,1
63,64,5,1,23,10,1,0,0,0,0,1,0
63,64,6,1,23,5,1,0,0,0,0,1,1
64,65,1,0,85,10,1,0,0,1,0,0,0
64,65,2,0,85,5,1,0,0,1,0,0,0
64,65,3,0,85,10,1,0,0,0,1,0,0
64,65,4,0,85,5,1,0,0,0,1,0,0
64,65,5,0,85,10,1,0,0,0,0,1,0
64,65,6,0,85,5,1,0,0,0,0,1,1
65,66,1,0,30,10,0,0,1,1,0,0,1
65,66,2,0,30,5,0,0,1,1,0,0,1
65,66,3,0,30,10,0,0,1,0,1,0,1
65,66,4,0,30,5,0,0,1,0,1,0,1
65,66,5,0,30,10,0,0,1,0,0,1,1
65,66,6,0,30,5,0,0,1,0,0,1,1
66,67,1,1,30,10,0,0,0,1,0,0,0
66,67,2,1,30,5,0,0,0,1,0,0,0
66,67,3,1,30,10,0,0,0,0,1,0,0
66,67,4,1,30,5,0,0,0,0,1,0,0
66,67,5,1,30,10,0,0,0,0,0,1,0
66,67,6,1,30,5,0,0,0,0,0,1,0
67,68,1,0,20,10,1,0,0,1,0,0,0
67,68,2,0,20,5,1,0,0,1,0,0,0
67,68,3,0,20,10,1,0,0,0,1,0,1
67,68,4,0,20,5,1,0,0,0,1,0,1
67,68,5,0,20,10,1,0,0,0,0,1,1
67,68,6,0,20,5,1,0,0,0,0,1,1
68,69,1,1,10,10,0,0,0,1,0,0,0
68,69,2,1,10,5,0,0,0,1,0,0,0
68,69,3,1,10,10,0,0,0,0,1,0,1
68,69,4,1,10,5,0,0,0,0,1,0,1
68,69,5,1,10,10,0,0,0,0,0,1,1
68,69,6,1,10,5,0,0,0,0,0,1,1
69,70,1,0,20,10,1,0,0,1,0,0,0
69,70,2,0,20,5,1,0,0,1,0,0,0
69,70,3,0,20,10,1,0,0,0,1,0,1
69,70,4,0,20,5,1,0,0,0,1,0,1
69,70,5,0,20,10,1,0,0,0,0,1,1
69,70,6,0,20,5,1,0,0,0,0,1,1
70,71,1,0,10,10,1,1,0,1,0,0,0
70,71,2,0,10,5,1,1,0,1,0,0,0
70,71,3,0,10,10,1,1,0,0,1,0,1
70,71,4,0,10,5,1,1,0,0,1,0,1
70,71,5,0,10,10,1,1,0,0,0,1,1
70,71,6,0,10,5,1,1,0,0,0,1,1
